Part ID,Length (mm),Width (mm),Quantity,Material,Grain Sensitive
HY2540189697T129,355.0,595.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T130,198.0,480.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T131,498.0,490.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T132,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T133,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T134,162.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T135,162.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T136,696.0,176.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T137,715.0,195.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T138,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T139,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T140,402.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T141,402.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T142,402.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T143,696.0,416.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T144,715.0,435.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T145,400.0,493.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T146,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T147,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T148,842.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T149,842.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T150,842.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T151,696.0,856.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T152,715.0,435.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T153,715.0,435.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T154,840.0,493.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T155,558.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T156,558.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T157,1197.0,97.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T158,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T159,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T160,562.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T161,562.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T162,562.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T163,562.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T165,715.0,595.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T166,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T167,718.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T168,662.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T169,662.0,98.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T170,662.0,558.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T171,696.0,676.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T172,715.0,345.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T173,715.0,345.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T174,660.0,493.0,1,2614 SF-18BWR-2614 SF,0
HY2540189697T175,557.0,47.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T176,557.0,47.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T177,717.0,47.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T178,298.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T179,298.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T180,1197.0,97.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T181,717.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T182,717.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T183,561.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T184,561.0,447.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T185,681.0,561.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T186,272.0,561.0,1,3233 HG-18HDHMR-3233 HG,0
HY2540189697T187,315.0,595.0,1,3233 HG-18HDHMR-3233 HG,0
HY2540189697T188,718.0,298.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T189,717.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T190,562.0,298.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T191,562.0,298.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T192,696.0,576.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T193,715.0,595.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T194,560.0,233.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T195,717.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T196,717.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T197,630.0,630.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T198,630.0,630.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T199,696.0,626.0,1,2614 SF-8HDHMR-2614 SF,0
HY2540189697T200,682.0,630.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T201,715.0,345.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T202,715.0,327.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T203,605.0,612.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T204,298.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T205,298.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T206,1197.0,97.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T207,717.0,297.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T208,718.0,298.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T209,462.0,298.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T210,462.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T211,98.0,462.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T212,715.0,495.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T213,717.0,287.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T214,717.0,317.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T215,261.0,287.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T216,261.0,287.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T217,681.0,261.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T218,259.0,229.0,1,3233 HG-18HDHMR-3233 HG,0
HY2540189697T221,725.0,195.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T222,1827.0,97.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T223,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T224,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T225,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T226,2398.0,98.0,1,2614 SF-18MR-2614 SF,0
HY2540189697T227,725.0,545.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T228,725.0,545.0,1,3233 HG-18HDHMR-2614 SF,0
HY2540189697T229,725.0,545.0,1,3233 HG-18HDHMR-2614 SF,0
